studrollno,Accommodation Operation,Accountancy,Bakery,Banking,Biology,Botany,Business Studies,Chemistry,Civics,Computer Application,Co-operation,Economics,English,French,General Foundation Course,Hindi,History,Konkani,Logic,Marathi,Mathematics,Physics,Political Science,Portuguese,Psychology,Secretarial Practice,Sociology,Hindi_y,History_y,Political Science_y,Portuguese_y,Psychology_y,Economics_y,English_y,Konkani_y,Marathi_y,Philosophy,Sociology_y
19-1079,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,99,0,0,0,0,0,0,0,93,0,0,ND,A,ND,ND,C,B+,ND,ND,ND,ND,ND
19-1093,0,0,0,0,0,0,0,0,0,0,0,58,66,0,0,82,0,0,0,0,0,0,0,0,0,0,0,ND,B+,B+,ND,ND,B,ND,ND,ND,ND,ND
19-1094,0,0,0,0,0,0,0,0,0,0,0,64,68,0,0,68,0,65,0,0,0,0,0,0,0,0,0,ND,B+,A,ND,ND,B,ND,ND,ND,ND,ND
19-1095,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,91,0,0,0,0,0,0,95,0,88,0,0,ND,A,A+,ND,ND,B+,ND,ND,ND,ND,ND
19-1096,0,0,0,0,0,0,0,0,0,0,74,80,52,0,0,0,84,65,0,0,0,0,0,0,0,0,0,ND,B+,A,ND,ND,B,ND,ND,ND,ND,ND
19-1097,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,61,78,0,0,0,0,0,0,0,86,0,0,ND,B+,B+,ND,ND,B+,ND,ND,ND,ND,ND
19-1098,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,82,81,0,0,0,0,0,0,0,88,0,0,ND,AB,AB,ND,ND,AB,ND,ND,ND,ND,ND
19-1099,0,0,0,0,0,0,0,0,0,0,0,79,73,0,0,81,0,0,0,0,0,0,0,0,0,0,0,ND,B+,A+,ND,ND,B+,ND,ND,ND,ND,ND
19-1100,0,0,0,0,0,0,0,0,0,0,0,78,62,0,0,91,0,0,0,0,0,0,91,0,0,0,0,ND,B+,A+,ND,ND,B+,ND,ND,ND,ND,ND
19-1101,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,65,49,0,0,0,0,0,0,52,0,0,ND,C,P,ND,ND,C,ND,ND,ND,ND,ND
19-1102,0,0,0,0,75,0,0,62,0,0,0,0,70,0,0,0,0,67,0,0,50,64,0,0,0,0,0,ND,P,B,ND,ND,C,ND,ND,ND,ND,ND
19-1112,0,0,0,0,0,0,0,0,0,0,0,77,73,0,0,0,75,85,0,0,0,0,0,0,0,0,0,C,B,ND,ND,ND,B+,ND,ND,ND,ND,ND
19-1113,0,0,0,0,0,0,0,0,0,0,0,75,71,0,0,91,0,0,0,0,0,0,90,0,0,0,0,B,B+,ND,ND,ND,A,ND,ND,ND,ND,ND
19-1115,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,89,65,0,0,0,0,0,0,0,74,0,0,C,C,ND,ND,ND,B+,ND,ND,ND,ND,ND
19-1116,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,88,96,0,0,0,0,0,0,0,89,0,0,A,A,ND,ND,ND,B+,ND,ND,ND,ND,ND
19-1117,0,0,0,0,0,0,0,0,0,0,0,74,62,0,0,89,0,0,0,0,0,0,74,0,0,0,0,P,C,ND,ND,ND,B,ND,ND,ND,ND,ND
19-1118,0,0,0,0,0,0,0,0,0,0,0,79,76,0,0,92,0,91,0,0,0,0,76,0,0,0,0,B+,B+,ND,ND,ND,B+,ND,ND,ND,ND,ND
19-1119,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,90,98,0,0,0,0,0,0,0,99,0,0,A,A+,ND,ND,ND,A,ND,ND,ND,ND,ND
19-1120,0,0,0,0,0,0,0,0,0,0,0,57,45,0,0,62,0,0,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,P,ND,ND,ND,ND,ND
19-1121,0,0,0,0,0,0,0,0,0,0,0,73,43,0,0,65,0,0,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,P,ND,ND,ND,ND,ND
19-1131,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,91,0,100,0,0,0,0,94,95,0,0,ND,A+,ND,A+,ND,A+,ND,ND,ND,ND,ND
19-1141,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,93,0,0,0,91,0,0,0,0,85,0,0,ND,ND,ND,ND,B+,A+,ND,ND,A+,ND,ND
19-1142,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,89,0,0,0,0,0,0,0,0,72,0,0,ND,ND,ND,ND,P,A,ND,ND,B+,ND,ND
19-1143,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,90,0,0,0,95,0,0,0,0,83,0,0,ND,ND,ND,ND,P,B+,ND,ND,B+,ND,ND
19-1144,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,86,0,0,0,0,0,0,0,0,87,0,0,ND,ND,ND,ND,P,C,ND,ND,B+,ND,ND
